index,座落,棟及號,建案名稱,總價,交易日期,單價,總面積,主建物占比,型態,樓別/棟高,交易標的,建物格局,車位總價,主要用途,主要建材,解約情形,交易明細,功能,備註,
491,中正區龍興里南海路70號,D棟5F號,雍雋品,6800,113/06/07,118.2,66.88,60.86,bt05,5/20,15-1-15土15建1車1,4房2廳3衛,310,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
492,中山區集英里錦西街4之1號,A1-2F號,恆合中山,3390,113/06/07,110,33.23,58.54,bt05,2/15,4-1-4土4建1車1,2房2廳2衛,240,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
493,信義區基隆路一段,B棟1號,吉祥．如藝,4882,113/06/07,127.2,44.03,59.52,bt05,6/23,10-1-10土10建1車1,3房2廳2衛,355,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
494,信義區基隆路一段,B棟11號,吉祥．如藝,2461,113/06/07,135.4,18.17,59.37,bt05,6/23,10-1-10土10建1車0,1房2廳1衛,,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
495,信義區基隆路一段,B棟5號,吉祥．如藝,3651,113/06/07,146.5,24.92,59.55,bt05,18/23,10-1-10土10建1車0,2房2廳1衛,,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
496,大安區樂業街94巷,A棟A2-11F號,全坤御峰,3678,113/06/07,138.8,34.34,60.53,bt05,11/17,28-1-28土28建1車1,3房2廳1衛,300,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
497,中正區衡陽路102號,A1-5F號,全坤衡峰,4820,113/06/07,125.2,43.72,62.71,bt05,5/22,7-1-7土7建1車1,3房2廳2衛,310,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
498,中正區衡陽路102號,A8-3F號,全坤衡峰,2600,113/06/07,124.4,20.9,62.03,bt05,3/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
499,中正區衡陽路102號,A9-4F號,全坤衡峰,3610,113/06/07,120.6,31.87,62.18,bt05,4/22,7-1-7土7建1車1,2房2廳1衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
500,大同區承德路二段,A-20F號,宏國大道城B棟,11320,113/06/07,127.3,93.3,60.12,bt05,20/26,2-1-2土2建1車2,3房2廳3衛,720,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
501,北投區中和街251號1樓,C-14號,玖原和美,2392,113/06/07,88,27.18,52.67,bt05,14/15,12-1-12土12建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
